175710	1
141598	2
138237	3
165036	4
119806	5
97673	6
136449	7
192289	8
183686	9
158877	10
169415	11
152877	12
13983	13
13983	14
101480	15
179660	16
141624	17
141996	18
170842	19
164509	20
151204	21
13983	22
176708	23
24562	24
129023	25
178097	26
162675	27
28122	28
151942	29
170666	30
134373	31
185618	32
134520	33
161975	34
163244	35
165576	36
167850	37
169527	38
176196	39
167085	40
136007	41
2129	42
29026	43
184743	44
187245	45
182006	46
172530	47
192664	48
166586	49
153065	50
153814	51
158966	52
183749	53
122560	54
5602	55
195025	56
27318	57
163372	58
109370	59
153639	60
169968	61
146735	62
159777	63
143778	64
179683	65
186429	66
173322	67
119707	68
168299	69
144503	70
165442	71
184897	72
160880	73
170022	74
154216	75
163821	76
170984	77
163237	78
27688	79
168578	80
192267	81
112782	82
191314	83
144623	84
165071	85
136073	86
173046	87
152354	88
129157	89
170746	90
165435	91
134003	92
156362	93
157142	94
161955	95
156174	96
193190	97
149096	98
163212	99
170434	100
172764	101
183311	102
178605	103
152678	104
165728	105
171219	106
154203	107
172370	108
27655	109
161511	110
160128	111
166728	112
134463	113
149082	114
167808	115
27599	116
152362	117
119811	118
154062	119
162214	120
169961	121
169701	122
128536	123
172730	124
159930	125
172678	126
151446	127
26762	128
173053	129
162936	130
166774	131
168075	132
169764	133
144331	134
164140	135
169915	136
151042	137
172258	138
153816	139
148956	140
133895	141
149736	142
160270	143
113731	144
159773	145
158567	146
171836	147
146346	148
27379	149
134008	150
130595	151
146658	152
27286	153
157924	154
162096	155
166386	156
154061	157
170639	158
164678	159
150899	160
172823	161
173082	162
159786	163
169874	164
118072	165
171079	166
158241	167
140160	168
162654	169
157351	170
147957	171
168306	172
169506	173
160648	174
172352	175
145823	176
162532	177
153714	178
126317	179
140681	180
158704	181
177868	182
115889	183
27891	184
173117	185
187654	186
154209	187
160019	188
144426	189
167799	190
163836	191
170165	192
145953	193
119194	194
170158	195
166530	196
158984	197
169919	198
166361	199
127352	200
166336	201
156482	202
168448	203
160125	204
170491	205
190211	206
128167	207
150887	208
144878	209
165687	210
161366	211
153199	212
171845	213
153483	214
162783	215
169523	216
151325	217
173163	218
162333	219
128404	220
164858	221
171124	222
165231	223
158574	224
160404	225
27591	226
167835	227
165553	228
161816	229
142773	230
144981	231
167814	232
168415	233
162960	234
167588	235
133999	236
150452	237
159411	238
162585	239
163558	240
168227	241
166369	242
145175	243
164520	244
168086	245
168818	246
153207	247
162682	248
168388	249
169903	250
134002	251
160033	252
154349	253
107226	254
122906	255
170164	256
140947	257
167452	258
172259	259
171488	260
163460	261
158976	262
157044	263
162340	264
153724	265
162580	266
168441	267
142144	268
27766	269
1672	270
138623	271
148739	272
171169	273
164431	274
187728	275
161643	276
158730	277
27737	278
188596	279
134000	280
169702	281
170385	282
151680	283
169742	284
146484	285
159909	286
169377	287
136707	288
162554	289
104819	290
163071	291
27135	292
141374	293
161387	294
13399	295
160539	296
150284	297
157501	298
27527	299
171429	300
171108	301
156250	302
27657	303
140952	304
157049	305
170374	306
122353	307
147954	308
167688	309
171654	310
161641	311
155418	312
129494	313
167707	314
172810	315
169981	316
167853	317
186470	318
167807	319
148848	320
146482	321
160068	322
172345	323
107864	324
165245	325
149361	326
171054	327
27756	328
168630	329
176348	330
169664	331
144417	332
129588	333
128166	334
166188	335
161489	336
143979	337
27889	338
154916	339
165457	340
167032	341
165702	342
169082	343
158020	344
170451	345
197138	346
27756	347
165946	348
191942	349
143708	350
148844	351
154761	352
151804	353
148602	354
156903	355
160983	356
164296	357
171821	358
170245	359
161242	360
153627	361
171986	362
166753	363
131790	364
184955	365
173004	366
164537	367
168892	368
164870	369
144092	370
146730	371
189289	372
163984	373
161230	374
164673	375
167931	376
162657	377
152421	378
162368	379
167945	380
167696	381
174939	382
143572	383
156596	384
156744	385
169055	386
151323	387
70047	388
192678	389
159926	390
170498	391
169070	392
148952	393
70942	394
163196	395
164149	396
171238	397
151034	398
169980	399
119668	400
161967	401
163863	402
171220	403
183363	404
161812	405
166533	406
179015	407
151812	408
140550	409
28290	410
120028	411
170242	412
158255	413
161626	414
169094	415
170417	416
153708	417
164677	418
105174	419
171882	420
160794	421
123760	422
135280	423
169469	424
161759	425
186714	426
159578	427
173290	428
163057	429
195230	430
168893	431
161487	432
164720	433
192498	434
153586	435
130176	436
102457	437
195668	438
154356	439
198267	440
171900	441
151943	442
170474	443
166783	444
155512	445
110422	446
171366	447
121427	448
188000	449
173383	450
188500	451
158707	452
153622	453
167068	454
158560	455
28245	456
180610	457
145880	458
128643	459
120732	460
118189	461
172783	462
160997	463
143373	464
193584	465
170510	466
159077	467
162347	468
142336	469
158553	470
143243	471
179512	472
159951	473
178839	474
164499	475
142998	476
157348	477
171195	478
172723	479
149597	480
154626	481
162780	482
169200	483
182366	484
167060	485
172690	486
169988	487
177709	488
155171	489
163720	490
135589	491
160895	492
189662	493
196345	494
173599	495
187315	496
186364	497
182264	498
27620	499
171426	500
135228	501
130686	502
137057	503
185259	504
150758	505
184549	506
181948	507
171708	508
197985	509
167613	510
123405	511
191114	512
170833	513
170933	514
190650	515
106874	516
27722	517
27987	518
140753	519
173139	520
104660	521
170551	522
187351	523
