135	17863	5	28.03
4907	218	3	10.84
214	331	11	8.97
1520	5494	3	25.38
125	433	72	109.18
123	1241	28	43.71
152	403	22	19.16
102	18001	5	8.76
109	15064	5	15.4
189	221	22	10.23
185	4050	8	34.86
1782	1500	3	17.66
2709	2946	3	24.82
111	14003	5	14.77
6829	412	3	19.25
2322	103	30	19.4
126	2413	10	12.56
370	773	10	38.2
2509	112	11	7.39
1903	344	3	9.09
395	931	5	14.8
10847	113	4	7.71
1515	2339	3	19.47
1515	9	4	12.71
8097	138	7	29.32
118	28307	3	12.8
4138	115	7	7.21
292	24564	3	27.96
1550	323	3	7.4
113	12028	5	13.47
31752	12	3	18.2
468	11052	3	24.27
5268	108	36	193.84
6866	134	5	13.33
1185	1544	3	15.38
1182	622	3	10.26
257	3523	18	130.9
195	328	15	13.44
109	32645	3	12.82
111	31405	4	23.42
2049	132	10	12.76
164	5367	3	7.12
356	2636	3	11.23
12439	126	6	24.69
12506	3070	7	101.94
1001	823	3	10.98
11514	118	8	33.03
103	5457	13	11.28
104	7438	8	9.48
906	239	6	11.81
1212	7792	3	26.96
965	1223	5	26.48
6684	189	3	11.12
369	33361	4	49.14
8859	795	19	268.16
114	12180	4	9.09
515	221	7	7.58
520	1941	3	12.08
12	5582	5	10.71
33040	223	4	43.04
1573	637	4	18.24
3582	1149	3	20.64
3038	140	6	9.51
18421	3077	4	56.29
38693	30523	3	70.58
1098	1670	4	22.75
8894	185	3	12.98
1413	765	5	25.71
3489	105	11	8.87
5663	151	19	116.6
3939	370	3	14.27
5205	145	4	8.49
3861	238	3	10.3
1823	372	15	94.51
8754	297	3	18.31
317	773	6	15.53
2366	152	6	10.3
111	46207	3	17.56
34340	109	4	22.94
43240	387	3	37.14
130	3598	9	18.41
129	1989	12	16.6
1153	303	4	9.05
5336	227	6	32.62
131	1617	12	13.05
14	1025	207	7.64
28173	110	4	18.53
103	1141	44	9.52
974	265	4	7.01
345	4486	3	14.65
561	3244	3	15.86
5300	20651	7	127.85
233	10773	3	17.69
282	5200	8	53.38
2474	14	85	11.97
1106	121	25	27.27
396	2252	3	10.97
184	6187	3	10.18
11490	128	3	7.7
9644	115	7	21.45
9103	1973	18	287.56
5933	865	4	32.78
281	2172	5	18.22
128	280	56	25.76
152	668	13	12.15
112	16399	3	6.9
249	3513	3	10.17
1718	919	10	73.37
30082	103	3	7.51
1070	4421	3	21.67
760	1223	7	38.68
822	609	3	8.35
25837	10594	5	100.93
6353	104	8	6.94
218	3262	3	8.26
1844	237	5	14.31
794	653	3	8.56
4300	14	46	9.9
1304	850	5	25.96
312	936	5	12.13
153	8126	3	9.48
18492	212	3	20.78
106	39753	3	16.13
587	864	4	13.29
1518	138	21	51.1
525	954	3	8.3
262	9296	3	17.89
2090	1133	13	112.89
