125	433	32	106.66
1520	5494	3	36.73
109	15064	4	24.66
106	3214	4	7.91
102	2655	7	7.8
109	32645	3	24.03
12506	3070	7	128.48
1030	134	3	3.86
2049	132	5	16.53
103	5457	9	30.45
965	1223	5	45.21
3582	1149	3	31.96
114	12180	3	15.66
1573	637	4	33.12
101	4865	8	20.31
101	7089	3	4.8
102	6974	4	8.26
8832	14	6	4.11
457	204	3	6.51
104	3245	4	5.39
1823	372	11	103.48
317	773	4	21.09
2266	112	7	19.05
34340	109	4	38.02
43240	387	3	48.52
131	1617	12	52.98
1726	173	3	11.53
974	265	4	20.7
1006	139	5	12.28
128	280	30	69.8
9644	115	7	47.18
2708	119	3	6.22
152	668	3	4.67
1070	4421	3	33
1718	919	4	36.85
1844	237	5	32.46
6353	104	3	6.61
312	936	4	22.27
8327	14	19	63.51
1518	138	18	102.53
2090	1133	7	77.98
125	1335	15	60.34
6443	126	4	20.55
9130	119	3	14.72
1146	1337	3	25.35
102	19091	3	12.74
1782	107	8	16.53
761	109	8	8.01
103	4551	18	81.07
105	4799	5	16
103	6412	8	28.28
15602	151	7	76.77
2976	14	34	49.69
2404	611	4	36.55
102	4054	14	45.65
1854	16	9	48.23
102	1701	16	26.67
103	835	26	41.91
104	2602	10	25.07
105	2972	4	7.24
324	992	7	48.22
226	1778	3	15.69
28715	14	3	7.81
5430	115	3	9.99
16334	117	5	38.59
30480	14	3	7.81
103	7188	8	30.93
143	9876	3	19.74
2404	460	8	79.94
115	8927	3	13.67
218	139	12	9.65
121	495	16	34.07
112	14998	3	16.94
3727	276	4	32.33
5450	117	3	10.46
112	13262	4	23.58
279	425	3	9.19
309	1197	3	16.25
2834	14	25	19.72
5098	14	29	77.21
121	7191	3	13.16
102	21422	3	13.93
140	3429	3	11.79
137	216	13	10.66
199	520	3	6.96
101	30843	3	17.56
108	5255	4	12.23
2618	210	4	25.06
107	7368	3	9.86
1134	116	7	12.2
3178	119	4	11.69
6370	141	8	60.12
22715	14	3	4.57
4772	102	5	8.25
103	12650	3	9.97
101	13441	3	9.53
115	2219	4	7.88
108	36752	3	27.52
176	6762	3	21.33
4045	14	18	16.06
138	24242	4	41.84
409	369	7	37.4
143	5916	3	15.75
16808	14	5	8.83
920	523	11	98.09
1525	131	3	5.19
2582	169	10	69.4
110	34599	3	24.39
4839	349	8	87.48
143	1672	9	41.48
178	4137	12	106.85
754	101	14	5.04
117	3308	5	16.85
541	837	3	18.55
136	5081	8	53.55
138	4453	29	283.36
22986	14	3	4.57
107	5906	5	18.67
384	1831	3	20.5
1952	113	40	245.73
445	387	3	12.17
139	7369	3	17.32
1290	265	7	47.63
293	247	3	5.39
742	106	7	3.99
231	285	4	7.95
229	1075	7	41.15
16625	14	9	36.06
2211	137	7	31.58
643	428	11	84.86
172	913	7	29.36
140	4891	9	63.41
108	4625	4	10.88
1600	1231	3	27.02
1085	118	6	9.59
1369	174	3	10.21
105	29318	3	22.92
108	3137	12	48.61
297	182	17	63.1
4351	1571	16	248.58
6667	106	4	14.41
378	181	3	3.91
105	9312	4	17.75
5646	14	26	69.4
5199	251	7	68.6
1113	114	10	21.72
4083	130	3	11.03
4174	119	3	8.85
23521	14	6	24.04
112	17296	4	27.7
1260	104	13	20.78
14174	109	3	15.76
114	3242	6	20.14
1739	131	4	9.87
104	13995	4	19.26
102	13204	6	27.86
273	875	4	20.27
109	21988	4	30.41
7388	2430	3	42.13
139	2757	5	22.33
743	387	10	75.16
712	132	5	7.39
3772	130	4	16.19
17294	14	4	6.1
2078	121	3	5.14
3508	14	14	4.74
34891	14	3	7.81
1099	104	17	30.96
430	121	13	19.5
402	139	9	16.18
25853	292	3	39.33
249	116	15	5.41
156	2399	5	24.78
4912	14	32	90.52
121	259	49	125.02
1649	982	6	60.4
135	17159	3	23.88
101	8234	10	44.86
1445	128	4	8.09
102	6125	10	36.48
8412	14	20	80.14
197	1166	4	17.06
2206	1946	4	44.89
1345	12	10	36.26
4277	122	19	135.05
4371	1045	10	135.74
102	2007	14	24.14
103	1077	12	9.01
192	339	5	10.51
161	1175	3	8.1
3735	808	3	30.33
6965	113	4	17.15
4249	119	4	14.17
16493	102	4	17.35
454	116	17	29.48
17968	110	3	18.37
1411	168	50	449.08
23891	14	4	8.97
102	7549	7	24.1
583	653	3	17.32
1061	882	4	32.65
1059	113	18	56.02
4269	1	3	8.47
110	14014	6	42.67
107	15735	3	16.18
182	250	27	112.04
431	7656	3	31.75
125	1608	8	25.67
128	2004	7	25.75
591	1122	3	20.57
128	5433	6	34.18
466	120	17	34.26
154	1716	3	9.74
4431	110	3	7.52
151	201	12	10.98
101	17942	4	18.46
342	3651	6	57.38
219	1626	3	14.79
2161	14	69	159.63
121	1414	9	26.17
1579	21	5	7.43
4486	14	13	7.66
498	1726	9	86.96
4522	148	6	38.11
907	166	3	7.29
105	1673	25	102.41
103	1409	18	32.04
190	1397	3	11.53
119	14602	8	72.05
133	573	10	22.94
119	12634	7	55.53
101	2597	14	31.26
1890	12	8	31.21
29868	14	3	7.81
969	120	22	85
1990	118	9	30.93
4031	115	4	12.79
105	7347	5	21.49
10334	116	6	39.07
14999	14	4	4.31
2470	312	3	20.84
101	6525	3	4.23
18449	14	6	15.62
933	121	12	33.03
580	104	15	10.36
2630	14	56	131.53
101	4408	14	48.5
12	6025	7	44.57
518	189	3	6.25
604	259	3	10.94
135	2214	5	18.49
35883	117	3	30.54
802	166	9	38.38
101	2829	31	129.01
124	3426	3	8.58
140	13276	3	21.85
156	1683	4	15.15
35200	151	3	36.98
128	843	4	4.93
23406	14	4	8.97
32968	113	4	39.14
113	5935	4	15.45
5459	14	27	72.88
4437	102	8	18.68
136	6033	4	22.56
107	576	19	30.54
112	1319	10	23.3
1125	201	8	45.17
142	106	114	45.44
3199	14	32	47.7
262	1030	5	28.26
101	10740	11	63.5
499	154	18	78.22
441	2421	5	44.44
1624	109	8	17.4
2641	111	4	7.92
118	5187	4	16.01
1937	131	3	6.46
27064	14	5	20.04
238	309	6	18.72
181	149	25	39.04
207	182	8	10.33
114	2089	5	10.52
302	320	5	17.66
178	2158	4	20.32
377	5064	3	27.39
4424	102	5	7.47
208	528	3	7.6
3633	14	18	12.81
4463	197	5	38.4
563	106	16	20.72
114	8012	4	18.81
205	154	14	19.06
112	2061	13	48.21
6465	101	9	31.84
1158	3690	3	32.24
229	1139	4	19.59
7840	126	5	30.7
107	2983	5	11.16
108	2867	7	19.44
7576	156	3	20.11
123	11574	5	34.48
1730	153	7	34.08
109	1999	13	45.32
230	961	5	25.32
22800	14	3	4.57
6053	8329	3	49.52
9242	115	4	21.16
294	132	9	6.53
16939	14	6	13.45
354	141	6	5.6
476	3093	6	60.27
262	5646	4	35.9
270	118	28	42.78
109	36823	3	28.51
29688	14	3	7.81
116	2278	7	21.32
1293	120	5	8.18
114	694	16	35.65
118	1600	11	37.44
101	11388	3	8.03
1080	101	28	50.61
102	11759	5	19.91
114	6235	3	10.45
1943	221	5	31.65
473	128	7	8.28
3507	119	24	167.85
1458	116	10	28.21
103	9217	4	12.3
149	7024	3	18.17
6985	6391	3	48.57
101	13647	3	9.53
16478	14	8	26.07
174	699	3	6.76
1678	104	11	20.18
3719	14	15	7.24
210	247	26	122.1
417	118	8	4.93
9630	14	7	7.91
1221	250	3	14.38
171	1092	3	8.53
172	472	40	254.29
137	420	32	133.07
173	334	31	155.08
268	207	21	94.22
6335	118	4	18
7359	120	3	13.07
295	548	4	17.16
198	2358	10	76.47
107	3885	6	18.78
924	188	4	14.57
10417	14	11	25.65
1083	619	11	104.74
107	4482	3	6.45
681	1515	7	66.4
1223	115	7	13.09
110	2624	9	31.29
807	112	6	4.88
46194	14	3	12.02
107	3026	8	25.11
108	2886	8	24.47
203	2843	8	61.44
6570	119	5	25.27
601	164	9	32.26
1490	333	4	26.57
890	14	203	617.95
3950	106	3	5.62
102	12664	5	20.88
145	2923	6	31.04
238	1001	3	12.83
6790	14	9	6.91
503	8025	6	75.63
212	1663	3	14.21
115	1379	8	18.34
304	2672	5	40.38
181	955	4	14.25
101	14776	5	23.07
237	470	30	221.48
238	340	6	20.31
3909	101	8	16.31
149	3763	11	80.06
114	3717	5	16.48
10724	14	6	6.46
302	1040	9	65
201	16605	9	125.91
599	135	9	21.31
1558	220	9	63.42
102	10325	3	7.31
375	260	3	7.86
3986	107	3	5.68
1973	151	7	34.49
649	332	4	20.13
835	14	50	7.34
169	2601	8	51.79
385	297	5	19.35
117	24218	3	23.84
2621	134	7	32.26
107	1937	7	13.87
110	3255	6	19.05
13042	14	11	37.48
5625	149	6	41.77
507	1515	8	73.36
2011	115	6	14.99
988	1	5	5.36
1776	333	4	28.11
3400	106	10	38.1
334	14	175	57.17
34266	14	3	7.81
21719	119	3	22.48
10212	101	3	7.24
6920	119	3	12.44
114	361	85	337.49
108	17346	8	73.39
3719	141	3	12.31
1706	127	10	40.2
179	1612	8	47.21
471	175	3	4.89
404	1290	3	18.72
409	110	134	675.66
8495	121	4	21.85
143	5376	5	30.34
4683	109	3	7.57
336	190	4	6.7
109	19360	6	51.3
147	2341	42	382.24
306	112	42	86.56
175	279	5	6.25
148	235	29	81.07
2075	137	4	13.17
513	1054	4	28.12
3679	132	7	37.08
201	302	5	10.04
199	1060	7	36.47
111	3092	15	74.11
109	3819	6	20.4
264	1392	12	96.33
4133	131	3	11.08
14047	14	10	33.66
217	6632	3	24.06
12299	14	5	5.03
252	555	6	28
102	19352	3	12.74
122	3079	3	7.4
124	447	8	7.8
6955	169	3	20.46
155	358	5	6.49
4989	141	3	14.36
37486	121	3	31.27
3292	2536	4	51.02
162	276	19	58.29
1186	274	3	15.1
163	406	10	28.87
636	162	4	8.62
702	127	6	9.16
101	1846	13	18.75
104	724	52	166.8
259	906	3	13.31
2335	106	4	5.44
33256	14	3	7.81
256	1262	6	37.9
314	17548	3	36.4
130	319	13	17.65
101	1533	14	17.57
102	3642	6	8.6
321	111	37	70.88
14252	14	11	44.08
102	6150	8	25.24
247	1390	4	22.24
41699	156	3	37.85
127	1530	3	4.89
119	30959	3	26.27
1454	3739	3	33.72
526	276	4	16.31
8132	119	4	20.77
1898	1035	3	27.01
32919	14	3	7.81
943	1585	12	136.72
945	1817	3	26.4
1879	112	4	5.65
103	17400	3	12.71
695	669	5	36.13
1172	135	3	4.8
104	20967	4	24
110	8349	8	49.3
107	9001	5	24.24
910	485	18	175.93
2169	132	3	7.47
103	1751	14	24.81
485	6008	3	30.74
39845	14	3	12.02
7767	14	13	23.5
102	6362	4	7.46
905	102	20	21.08
17825	12585	3	62.37
103	7293	5	14.72
965	1482	15	176.13
453	1173	3	19.27
8346	101	4	9.77
102	4505	4	4.69
103	8102	4	11.05
101	6863	6	16.96
358	418	3	11.17
119	8973	5	29.53
103	5869	4	7.86
102	4754	10	29.67
4311	118	7	32.93
6356	115	4	17.11
102	510	23	10.87
106	2028	4	4.53
101	2616	21	64.45
2805	18131	4	70.65
2841	101	16	43.1
103	3357	17	60.48
868	4439	28	447.54
528	117	9	10.01
556	129	7	10.35
2917	21	3	5.17
907	197	3	9.96
247	251	3	4.32
2868	106	3	3.87
591	4505	3	29.73
16	547	12	42.93
112	2540	8	25.83
107	1484	7	10.55
4353	113	8	36.35
167	2070	6	31.81
1194	102	23	38.52
476	878	3	18.11
1535	197	5	26.32
110	7686	15	114.8
108	7934	9	53.06
28724	160	3	33.72
12159	102	4	13.87
209	973	4	16.93
119	1735	5	10.57
114	2782	3	5.35
5732	118	4	16.94
270	356	6	23.12
721	2376	3	26.53
1865	124	5	12.79
947	135	4	7.05
104	8362	6	25.54
108	21236	5	40.48
2582	194	5	31.4
2544	109	23	121.06
13	5276	4	31.55
10440	122	3	15.99
101	10195	3	7.24
534	14	95	29.01
103	11184	3	9
146	2118	5	20.63
2251	113	6	15.07
110	18662	7	61.36
22269	14	4	8.97
45029	14	3	12.02
140	6078	3	15.74
863	122	11	27.18
120	23374	3	22.63
109	8081	4	17.86
232	629	3	9.89
682	2496	6	61.56
14260	276	3	32.83
2848	1294	6	70.83
112	893	52	256.19
4583	8500	3	47.78
108	4923	3	7.11
572	249	3	10.07
1021	14	189	591.18
2042	102	11	14.86
34569	14	3	7.81
1471	137	25	156.42
4662	116	3	8.96
25456	111	4	33.55
325	213	3	4.77
294	1293	3	15.98
112	3187	7	24.28
199	3858	4	27.46
108	463	70	254.33
110	711	10	13.09
17205	114	7	62.96
142	373	7	8.92
6875	14	8	5.18
41010	14	3	12.02
650	175	16	85.01
167	657	4	9.5
166	1045	14	78.15
441	554	4	21.89
1050	483	4	27.59
149	5521	5	32.85
8078	151	9	82.32
180	260	6	9.44
1674	565	4	32.63
19262	115	3	20.53
716	112	21	55.32
1202	289	8	57.07
1711	102	9	7.12
175	2003	4	19.1
103	15806	5	26.27
715	854	5	39.11
102	9171	3	6.64
101	11279	7	32.3
5067	104	4	8.94
7935	111	12	85.46
140	470	39	193.48
166	288	11	25.39
108	4580	17	98.78
136	5549	4	21.79
187	299	14	48.6
2294	132	11	56.36
36322	114	3	29.56
216	6980	4	35.12
2447	123	23	141.75
461	162	4	6.5
33595	14	3	7.81
1006	102	31	59.04
128	4955	10	65.86
362	19084	4	54.54
320	115	43	107.26
10198	116	3	14.78
101	376	62	78.26
158	418	9	24.33
669	879	4	29.14
3650	474	3	26.93
117	8423	4	20.91
393	862	5	32.23
421	172	4	6.74
101	6280	5	11.26
103	7535	5	15.15
147	13695	5	45.41
102	1091	95	422.32
195	289	5	8.75
101	703	24	22.17
2678	187	3	15.53
102	22017	4	21.92
45466	14	3	12.02
592	376	3	13.75
5032	101	4	5.53
128	1096	16	65.26
121	1954	3	4.78
126	2452	6	21.88
312	124	26	53.78
122	3935	3	8.88
183	3230	8	60.22
8	5251	3	27.53
3825	221	4	29.67
427	1004	14	127.1
33016	3373	4	83.44
110	10203	3	13.64
3047	387	4	34.19
101	34305	3	17.56
121	534	7	6.6
218	102	61	12.34
135	17386	4	34.85
789	137	10	32.52
103	4725	4	6.15
191	5101	3	20.2
138	28430	3	30.64
2004	16291	4	66.24
108	31564	3	23.04
12145	574	6	84.84
12112	14	5	5.03
6451	151	5	35.46
164	575	3	4.59
733	129	5	6.93
102	4097	22	95.99
103	802	67	223.78
192	582	16	87.66
7411	14	17	41.17
134	1268	3	4.84
162	480	5	10.32
672	413	3	15.32
1544	205	4	19.93
